,indicator_name,year,value,change_per_year
0,Loans_total,2012,33.213123013524,
1,Loans_total,2013,8.03846468346771,-75.79732360550815
2,Loans_total,2014,42.1938826484362,424.8997701664865
3,Loans_total,2015,44.8825616511522,6.372200977848741
4,Loans_total,2016,44.0765570530997,-1.7958079227231694
5,Loans_total,2017,49.6551408498122,12.656577940041668
6,Loans_total,2018,53.3587846430429,7.458731824833231
7,Loans_total,2019,44.6221141320411,-16.37344360342533
8,Loans_total,2020,34.4863376518758,-22.714693548971187
9,Loans_total,2021,39.4161111621307,14.294859489049738
10,Loans_total,2022,38.7644767154676,-1.653218512558785
11,Loans_total,2023,47.4448207049888,22.392522033085037
12,Loans_total,2024,271.974070344677,473.24290892742073
