Country,Year,GDP_per_capita
Bangladesh,2005,480.08585075452
Bangladesh,2006,490.388026533289
Bangladesh,2007,537.955492792911
Bangladesh,2008,613.06204104124
Bangladesh,2009,679.211477428056
Bangladesh,2010,757.385280361508
Bangladesh,2011,837.336944695647
Bangladesh,2012,859.680536375497
Bangladesh,2013,958.262989798283
Bangladesh,2014,1094.46199702838
Bangladesh,2015,1224.38647668165
Bangladesh,2016,1649.28380858601
Bangladesh,2017,1811.08221668646
Bangladesh,2018,1965.24372731467
Bangladesh,2019,2129.79896954606
Bangladesh,2020,2248.85078828233
Bangladesh,2021,2482.84917843357
Bangladesh,2022,2716.48592780431
Bangladesh,2023,2551.01773827307
Bangladesh,2024,2593.41611680774
India,2005,710.488080408949
India,2006,801.668353659022
India,2007,1021.88707706826
India,2008,992.519584923828
India,2009,1094.94974598436
India,2010,1347.51939071367
India,2011,1445.46127486037
India,2012,1429.32199520032
India,2013,1432.84397512195
India,2014,1553.88396075118
India,2015,1583.99815907985
India,2016,1707.50892912243
India,2017,1950.10468280866
India,2018,1966.25455171679
India,2019,2041.42863698585
India,2020,1907.04251637669
India,2021,2239.61384367482
India,2022,2347.44829434623
India,2023,2530.12031278204
India,2024,2694.73780859961
Pakistan,2005,827.619861189926
Pakistan,2006,900.873564984808
Pakistan,2007,998.090114197524
Pakistan,2008,1067.04324565284
Pakistan,2009,963.788066395225
Pakistan,2010,987.304571124485
Pakistan,2011,1131.73513834324
Pakistan,2012,1204.36475491585
Pakistan,2013,1225.4340119198
Pakistan,2014,1266.61340849959
Pakistan,2015,1380.47020838317
Pakistan,2016,1424.69161195897
Pakistan,2017,1519.23459514248
Pakistan,2018,1569.33814626355
Pakistan,2019,1390.41690981745
Pakistan,2020,1278.39735206896
Pakistan,2021,1455.31922370186
Pakistan,2022,1538.3228133171
Pakistan,2023,1360.32417758419
Pakistan,2024,1478.77277977996
