Organism	Feature	Beta(Slope)	R_squared	P_value
Bos taurus	hydrophobicity	-0.3116	0.031	5.330791273282018e-10
Bos taurus	entropy	0.0197	0.1756	0.0
Bos taurus	freq_A	-0.007	0.0002	0.2042510314677276
Bos taurus	freq_C	-0.083	0.0078	9.548115679503456e-15
Bos taurus	freq_D	0.0864	0.0248	2.659632224938506e-45
Bos taurus	freq_E	0.0573	0.0095	3.31378993176337e-18
Bos taurus	freq_F	0.007	0.0001	0.32831570977156666
Bos taurus	freq_G	0.0207	0.0015	0.0005710523914385346
Bos taurus	freq_H	0.0682	0.0099	1.1736656848803259e-18
Bos taurus	freq_I	0.0349	0.0026	5.633297489526297e-06
Bos taurus	freq_K	-0.0498	0.005	2.5944021504241365e-10
Bos taurus	freq_L	0.0257	0.0035	1.1171094960654938e-07
Bos taurus	freq_M	-0.0872	0.018	2.469419363454181e-33
Bos taurus	freq_N	0.0736	0.013	2.5439045644292796e-24
Bos taurus	freq_P	0.0753	0.0136	1.5286394526564744e-25
Bos taurus	freq_Q	0.0516	0.0086	1.1043974436698984e-16
Bos taurus	freq_R	-0.0098	0.0003	0.10660931021823378
Bos taurus	freq_S	0.1019	0.0471	9.202070454395104e-86
Bos taurus	freq_T	0.0787	0.0298	2.322277235502593e-54
Bos taurus	freq_V	0.026	0.0033	3.426707653101222e-07
Bos taurus	freq_W	-0.1549	0.0277	7.791785740854195e-47
Bos taurus	freq_Y	-0.0026	0.0	0.7396505737346251
Homo sapiens	hydrophobicity	-0.1995	0.0075	6.013880606665069e-05
Homo sapiens	entropy	0.0143	0.0757	6.944635034736302e-259
Homo sapiens	freq_A	-0.0189	0.0015	2.9530934868069696e-06
Homo sapiens	freq_C	-0.1265	0.018	1.6828708820385354e-59
Homo sapiens	freq_D	0.0871	0.0272	1.7372714728415833e-91
Homo sapiens	freq_E	0.1024	0.0318	3.5796344611242606e-107
Homo sapiens	freq_F	-0.0269	0.0018	2.672978668422657e-07
Homo sapiens	freq_G	-0.0109	0.0004	0.010835081667589001
Homo sapiens	freq_H	0.0708	0.0115	4.746636129288965e-39
Homo sapiens	freq_I	0.0174	0.0006	0.0021348121815329526
Homo sapiens	freq_K	0.0043	0.0	0.4501870302797265
Homo sapiens	freq_L	0.0137	0.001	0.00015918818541977938
Homo sapiens	freq_M	-0.0822	0.0168	2.9508306534039206e-57
Homo sapiens	freq_N	0.0741	0.0128	1.2118554033209707e-43
Homo sapiens	freq_P	0.0804	0.0157	2.0151749224265898e-53
Homo sapiens	freq_Q	0.0818	0.0232	1.8507391928702278e-78
Homo sapiens	freq_R	-0.0097	0.0004	0.02174680080382967
Homo sapiens	freq_S	0.1013	0.0516	1.3031120089447774e-174
Homo sapiens	freq_T	0.0646	0.0218	1.2729746986528963e-73
Homo sapiens	freq_V	0.0037	0.0001	0.3229226675555932
Homo sapiens	freq_W	-0.1862	0.0403	3.4315782242958713e-128
Homo sapiens	freq_Y	-0.065	0.0085	2.0359988498286e-29
Mus musculus	hydrophobicity	-0.2829	0.0103	0.0016040915680396426
Mus musculus	entropy	0.0103	0.0653	9.044660937545798e-105
Mus musculus	freq_A	-0.0247	0.0029	5.810394681177918e-06
Mus musculus	freq_C	-0.0806	0.0077	3.275883146120309e-13
Mus musculus	freq_D	0.0825	0.0269	2.52592405296096e-43
Mus musculus	freq_E	0.0884	0.0258	1.0112288542801316e-41
Mus musculus	freq_F	-0.0163	0.0007	0.03307480952513277
Mus musculus	freq_G	-0.0031	0.0	0.5990064203973409
Mus musculus	freq_H	0.0675	0.0108	5.45519896637883e-18
Mus musculus	freq_I	0.0158	0.0006	0.04631152086461516
Mus musculus	freq_K	-0.0215	0.001	0.006815583358974899
Mus musculus	freq_L	0.0055	0.0002	0.2623626777970003
Mus musculus	freq_M	-0.0685	0.0127	3.799935264449042e-21
Mus musculus	freq_N	0.0684	0.0127	4.11923071083471e-21
Mus musculus	freq_P	0.0866	0.0182	9.585333427220247e-30
Mus musculus	freq_Q	0.0919	0.0298	7.517896029704296e-48
Mus musculus	freq_R	-0.0139	0.0008	0.019952269087371993
Mus musculus	freq_S	0.1079	0.0589	2.349992785439263e-94
Mus musculus	freq_T	0.0502	0.0144	7.875856217595405e-24
Mus musculus	freq_V	0.0021	0.0	0.6770057597725241
Mus musculus	freq_W	-0.1513	0.0262	2.986952508951497e-40
Mus musculus	freq_Y	-0.0432	0.004	1.4453573720575536e-07
