organism	feature	loading_pc1	abs_loading
Bos taurus	entropy	0.262846	0.262846
Bos taurus	hydrophobicity	0.452988	0.452988
Bos taurus	freq_A	-0.078771	0.078771
Bos taurus	freq_C	0.067327	0.067327
Bos taurus	freq_D	-0.117183	0.117183
Bos taurus	freq_E	-0.315339	0.315339
Bos taurus	freq_F	0.331381	0.331381
Bos taurus	freq_G	-0.007334	0.007334
Bos taurus	freq_H	0.029801	0.029801
Bos taurus	freq_I	0.285376	0.285376
Bos taurus	freq_K	-0.181348	0.181348
Bos taurus	freq_L	0.18059	0.18059
Bos taurus	freq_M	0.119033	0.119033
Bos taurus	freq_N	0.103478	0.103478
Bos taurus	freq_P	-0.162686	0.162686
Bos taurus	freq_Q	-0.208289	0.208289
Bos taurus	freq_R	-0.218183	0.218183
Bos taurus	freq_S	-0.076826	0.076826
Bos taurus	freq_T	0.141867	0.141867
Bos taurus	freq_V	0.271805	0.271805
Bos taurus	freq_W	0.210765	0.210765
Bos taurus	freq_Y	0.239689	0.239689
Homo sapiens	entropy	0.299446	0.299446
Homo sapiens	hydrophobicity	0.367259	0.367259
Homo sapiens	freq_A	-0.10938	0.10938
Homo sapiens	freq_C	-0.041364	0.041364
Homo sapiens	freq_D	-0.005945	0.005945
Homo sapiens	freq_E	-0.181533	0.181533
Homo sapiens	freq_F	0.35315	0.35315
Homo sapiens	freq_G	-0.119832	0.119832
Homo sapiens	freq_H	-0.01408	0.01408
Homo sapiens	freq_I	0.356114	0.356114
Homo sapiens	freq_K	-0.045715	0.045715
Homo sapiens	freq_L	0.179714	0.179714
Homo sapiens	freq_M	0.186131	0.186131
Homo sapiens	freq_N	0.184808	0.184808
Homo sapiens	freq_P	-0.257601	0.257601
Homo sapiens	freq_Q	-0.194658	0.194658
Homo sapiens	freq_R	-0.229422	0.229422
Homo sapiens	freq_S	-0.159305	0.159305
Homo sapiens	freq_T	0.116816	0.116816
Homo sapiens	freq_V	0.271971	0.271971
Homo sapiens	freq_W	0.189797	0.189797
Homo sapiens	freq_Y	0.231546	0.231546
Mus musculus	entropy	0.298362	0.298362
Mus musculus	hydrophobicity	0.405779	0.405779
Mus musculus	freq_A	-0.12382	0.12382
Mus musculus	freq_C	0.106106	0.106106
Mus musculus	freq_D	-0.073313	0.073313
Mus musculus	freq_E	-0.243732	0.243732
Mus musculus	freq_F	0.342872	0.342872
Mus musculus	freq_G	-0.077207	0.077207
Mus musculus	freq_H	0.003516	0.003516
Mus musculus	freq_I	0.323539	0.323539
Mus musculus	freq_K	-0.114165	0.114165
Mus musculus	freq_L	0.17427	0.17427
Mus musculus	freq_M	0.147481	0.147481
Mus musculus	freq_N	0.148361	0.148361
Mus musculus	freq_P	-0.211528	0.211528
Mus musculus	freq_Q	-0.19281	0.19281
Mus musculus	freq_R	-0.205223	0.205223
Mus musculus	freq_S	-0.144764	0.144764
Mus musculus	freq_T	0.097261	0.097261
Mus musculus	freq_V	0.270777	0.270777
Mus musculus	freq_W	0.232095	0.232095
Mus musculus	freq_Y	0.240697	0.240697
