organism	component	variance_explained	cumulative_variance
Bos taurus	1	0.160353	0.160353
Bos taurus	2	0.133762	0.294116
Bos taurus	3	0.078573	0.372689
Bos taurus	4	0.066517	0.439206
Bos taurus	5	0.05833	0.497536
Bos taurus	6	0.049058	0.546594
Bos taurus	7	0.045205	0.591799
Bos taurus	8	0.042469	0.634268
Bos taurus	9	0.038805	0.673073
Bos taurus	10	0.038201	0.711274
Bos taurus	11	0.036766	0.74804
Bos taurus	12	0.034754	0.782794
Bos taurus	13	0.033458	0.816252
Bos taurus	14	0.031904	0.848156
Bos taurus	15	0.031322	0.879479
Bos taurus	16	0.029318	0.908797
Bos taurus	17	0.026093	0.93489
Bos taurus	18	0.025748	0.960638
Bos taurus	19	0.022219	0.982856
Bos taurus	20	0.017138	0.999994
Bos taurus	21	6e-06	1.0
Bos taurus	22	0.0	1.0
Homo sapiens	1	0.175684	0.175684
Homo sapiens	2	0.144133	0.319817
Homo sapiens	3	0.082451	0.402268
Homo sapiens	4	0.067255	0.469523
Homo sapiens	5	0.06119	0.530713
Homo sapiens	6	0.050397	0.58111
Homo sapiens	7	0.044768	0.625878
Homo sapiens	8	0.039539	0.665417
Homo sapiens	9	0.037883	0.703301
Homo sapiens	10	0.036213	0.739514
Homo sapiens	11	0.033642	0.773155
Homo sapiens	12	0.032721	0.805876
Homo sapiens	13	0.029715	0.835592
Homo sapiens	14	0.028983	0.864574
Homo sapiens	15	0.02843	0.893004
Homo sapiens	16	0.026522	0.919526
Homo sapiens	17	0.024059	0.943585
Homo sapiens	18	0.022007	0.965592
Homo sapiens	19	0.020047	0.985638
Homo sapiens	20	0.014361	1.0
Homo sapiens	21	0.0	1.0
Homo sapiens	22	0.0	1.0
Mus musculus	1	0.183323	0.183323
Mus musculus	2	0.130828	0.314151
Mus musculus	3	0.08003	0.394181
Mus musculus	4	0.066813	0.460995
Mus musculus	5	0.063506	0.5245
Mus musculus	6	0.050165	0.574666
Mus musculus	7	0.043186	0.617852
Mus musculus	8	0.039698	0.65755
Mus musculus	9	0.038681	0.696231
Mus musculus	10	0.037349	0.733581
Mus musculus	11	0.034668	0.768249
Mus musculus	12	0.032804	0.801053
Mus musculus	13	0.030302	0.831355
Mus musculus	14	0.029429	0.860783
Mus musculus	15	0.02892	0.889703
Mus musculus	16	0.026504	0.916207
Mus musculus	17	0.02558	0.941788
Mus musculus	18	0.022321	0.964108
Mus musculus	19	0.021076	0.985185
Mus musculus	20	0.014815	0.999999
Mus musculus	21	1e-06	1.0
Mus musculus	22	0.0	1.0
